iter	Passed	Remaining
439	1297	1650
440	1300	1647
441	1302	1644
442	1305	1641
443	1308	1638
444	1311	1635
445	1314	1632
446	1316	1628
447	1319	1625
448	1321	1622
449	1325	1620
450	1329	1618
451	1331	1614
452	1334	1611
453	1336	1607
454	1341	1607
455	1345	1605
456	1348	1602
457	1351	1599
458	1353	1595
459	1357	1594
460	1360	1591
461	1363	1587
462	1365	1583
463	1369	1581
464	1371	1578
465	1374	1574
466	1376	1570
467	1378	1566
468	1380	1563
469	1384	1560
470	1386	1557
471	1390	1555
472	1393	1553
473	1396	1549
474	1399	1546
475	1402	1543
476	1404	1540
477	1407	1536
478	1411	1534
479	1415	1533
480	1420	1532
481	1423	1529
482	1426	1526
483	1428	1523
484	1431	1519
485	1433	1516
486	1435	1512
487	1439	1510
488	1442	1507
489	1444	1503
490	1447	1500
491	1448	1496
492	1451	1492
493	1453	1489
494	1455	1485
495	1458	1481
496	1460	1477
497	1461	1473
498	1464	1469
499	1467	1467
500	1470	1464
501	1473	1461
502	1474	1457
503	1476	1452
504	1477	1448
505	1479	1444
506	1480	1440
507	1482	1435
508	1484	1431
509	1485	1427
510	1486	1422
511	1488	1418
512	1490	1414
513	1491	1410
514	1493	1406
515	1494	1401
516	1496	1397
517	1498	1394
518	1499	1389
519	1501	1385
520	1502	1381
521	1504	1377
522	1506	1373
523	1507	1369
524	1509	1365
525	1512	1362
526	1514	1359
527	1515	1355
528	1517	1351
529	1519	1347
530	1522	1344
531	1524	1341
532	1526	1337
533	1528	1333
534	1529	1329
535	1531	1325
536	1533	1322
537	1534	1317
538	1536	1314
539	1537	1309
540	1539	1306
541	1541	1302
542	1543	1298
543	1545	1295
544	1547	1291
545	1549	1288
546	1552	1285
547	1556	1283
548	1558	1280
549	1560	1277
550	1638	1335
551	1640	1331
552	1643	1328
553	1645	1324
554	1648	1322
555	1652	1319
556	1654	1315
557	1656	1312
558	1659	1309
559	1663	1306
560	1666	1303
561	1667	1299
562	1669	1295
563	1671	1291
564	1672	1287
565	1674	1283
566	1675	1279
567	1677	1275
568	1678	1271
569	1680	1267
570	1682	1263
571	1683	1259
572	1685	1255
573	1686	1251
574	1688	1247
575	1689	1243
576	1691	1239
577	1692	1235
578	1694	1231
579	1695	1228
580	1697	1224
581	1698	1220
582	1700	1216
583	1702	1212
584	1703	1208
585	1707	1206
586	1709	1202
587	1710	1198
588	1713	1195
589	1715	1192
590	1717	1188
591	1719	1185
592	1721	1181
593	1722	1177
594	1725	1174
595	1726	1170
596	1728	1166
597	1730	1162
598	1731	1159
599	1733	1155
600	1736	1153
601	1738	1149
602	1740	1146
603	1742	1142
604	1744	1138
605	1745	1135
606	1747	1131
607	1749	1127
608	1752	1124
609	1754	1121
610	1755	1117
611	1757	1114
612	1758	1110
613	1761	1107
614	1763	1104
615	1766	1101
616	1768	1097
